ZIPCODE,NUM_RETURNS,MEAN_AGI
04222,2170,90232.25806451614
04224,1250,58932.0
04231,150,51053.333333333336
04236,2230,68150.22421524664
04237,160,63931.25
04238,630,64044.444444444445
04239,2240,54957.58928571428
04240,16350,55710.88685015291
04250,2330,59602.14592274678
04252,2490,61165.86345381526
04253,1080,60177.77777777778
04254,1390,46239.56834532374
04255,400,72267.5
04256,1530,58585.62091503268
04257,1150,45092.17391304348
04258,1450,73962.06896551725
04259,1620,79944.44444444444
04260,3080,84177.5974025974
04261,300,85710.0
04263,1100,61731.818181818184
04265,450,68217.77777777778
04268,2600,66331.92307692308
04270,3140,60847.13375796178
04274,2790,73865.94982078853
04275,250,56760.0
04276,2490,51799.1967871486
04280,3540,62657.062146892655
04281,2530,52833.596837944664
04282,2940,89254.76190476191
04284,630,83606.3492063492
04285,210,61090.47619047619
04287,1540,70340.25974025975
04289,850,55818.82352941176
04290,720,59248.61111111111
04292,460,47854.34782608696
04294,1670,62219.760479041914
04330,13170,63208.731966590734
04342,920,64472.82608695652
04344,1510,65617.21854304636
04345,6300,64826.98412698413
04346,910,54120.87912087912
04347,1490,76821.47651006712
04348,1670,65344.31137724551
04349,700,69962.85714285714
04350,1870,75110.16042780748
04351,1440,105326.38888888889
04352,880,72055.68181818182
04353,1180,66961.01694915254
04354,810,70738.27160493827
04355,1350,80640.74074074074
04357,1860,66180.64516129032
04358,2100,67517.61904761905
04360,320,59668.75
04363,1340,60764.17910447761
04364,3130,84166.7731629393
04401,21510,73271.920037192
04406,350,53897.142857142855
04408,100,57800.0
04410,580,49851.724137931036
04411,810,59641.97530864197
04412,4950,75597.17171717172
04414,610,51462.29508196721
04416,2770,56966.06498194946
04417,190,42273.68421052631
04418,730,49232.87671232877
04419,1510,64015.23178807947
04421,350,124680.0
04422,540,53507.40740740741
04424,380,50671.05263157895
04426,2150,68276.74418604652
04427,1430,57209.09090909091
04428,1550,65065.8064516129
04429,2640,94309.09090909091
04430,670,43695.522388059704
04434,600,55016.666666666664
04435,460,56354.34782608696
04438,590,52238.983050847455
04441,740,83113.51351351352
04443,1060,55483.018867924526
04444,4850,100953.60824742269
04448,620,49569.354838709674
04449,700,56578.57142857143
04450,660,57050.0
04453,350,43917.142857142855
04455,420,53769.04761904762
04456,1490,65099.328859060406
04457,2740,59539.78102189781
04459,290,44482.75862068965
04460,560,48687.5
04461,1540,60831.818181818184
04462,2070,49183.57487922705
04463,1270,45800.7874015748
04464,320,45862.5
04468,4360,57716.28440366973
04471,240,46437.5
04472,1090,60815.59633027523
04473,2850,72662.45614035087
04474,2120,69845.75471698113
04475,160,63768.75
04476,620,61846.77419354839
04478,170,67970.58823529411
04479,590,51216.94915254237
04481,290,61762.06896551724
04487,360,45511.11111111111
04488,620,59680.645161290326
04493,900,56763.333333333336
04495,170,54505.882352941175
04496,1920,69952.60416666667
04497,130,41176.92307692308
04530,6080,73704.93421052632
04535,420,78133.33333333333
04537,1190,72816.80672268907
04538,1140,71257.01754385965
04539,640,75504.6875
04543,1290,79350.38759689922
04544,440,114618.18181818182
04547,610,76114.75409836066
04548,610,100226.22950819672
04551,420,90909.52380952382
04553,1160,83769.8275862069
04554,460,95204.34782608696
04555,1020,78693.13725490196
04556,710,78018.30985915494
04558,170,67788.23529411765
04562,1170,83196.5811965812
04563,770,87436.36363636363
04564,280,106535.71428571429
04568,250,131084.0
04571,180,85605.55555555556
04572,2670,59840.823970037454
04573,270,87577.77777777778
04574,800,51300.0
04576,370,94881.08108108108
04578,2420,67308.26446280992
04579,1690,81876.92307692308
04605,7260,71362.67217630854
04606,540,51016.666666666664
04607,530,67828.30188679245
04609,2870,91259.5818815331
04612,290,64362.06896551724
04613,100,54000.0
04614,1670,80563.47305389222
04616,440,88168.18181818182
04617,410,76226.82926829268
04619,1440,54818.75
04622,610,44408.19672131148
04623,460,53465.217391304344
04626,250,47728.0
04627,870,88182.75862068965
04628,290,50917.24137931035
04630,720,55984.72222222222
04631,590,57755.93220338983
04634,1000,53374.0
04640,1310,64202.29007633588
04643,480,46862.5
04648,300,53770.0
04649,580,51034.48275862069
04650,160,60675.0
04652,760,54702.63157894737
04653,300,62030.0
04654,1500,54575.333333333336
04655,430,53079.06976744186
04657,150,70920.0
04658,730,45697.260273972606
04660,820,106236.58536585367
04664,610,53934.42622950819
