ZIPCODE,POPULATION_DENSITY
02081,1030.6310327512135
02090,1343.245227606461
02093,504.6759109964527
02108,28124.999999999996
02109,21797.68786127168
02110,9574.585635359117
02111,27344.44444444444
02113,69150.0
02114,26723.830734966592
02115,40170.90395480226
02116,32690.96671949287
02118,24177.00729927007
02119,15861.07634543179
02120,24446.054750402578
02121,14887.106017191976
02122,11537.592137592137
02124,15954.257095158597
02125,15616.791744840524
02126,12289.423076923076
02127,15718.734552644586
02128,8350.443207586064
02129,12168.023686158402
02130,10618.176364727055
02131,11529.184383455738
02132,5672.515902610221
02134,16216.440422322778
02135,16241.457858769932
02136,6205.184055761272
02138,13253.284671532845
02139,23330.551989730422
02140,15244.155844155845
02141,18493.788819875776
02142,11298.561151079135
02143,15876.943005181347
02144,22080.406654343806
02145,18222.779369627508
02148,11794.449950445985
02149,12138.475021910604
02150,15886.024423337858
02151,8821.386003745958
02152,8872.718052738337
02155,7073.093349603417
02163,26080.80808080808
02169,6136.996990302085
02170,9363.898223715794
02171,7220.138605788829
02176,5763.1354122170005
02180,3563.9235245220284
02184,2597.296904519692
02186,2074.6004917025202
02188,3926.881720430107
02189,3825.275880189175
02190,2267.0886075949365
02191,4178.359683794466
02199,20105.263157894737
02203,0.0
02210,2174.8178980228927
02215,34150.32679738562
02301,4904.363899381178
02302,3684.559981994147
02322,1014.9114631873254
02324,974.932100124789
02330,308.4861155784282
02332,635.0257232014844
02333,800.5339214206954
02338,470.72819485317143
02339,893.2295018663921
02341,680.2929427430093
02343,1532.8102710413696
02346,335.65763095964434
02347,356.2269217858342
02351,1657.4294281873645
02356,916.3445408795857
02357,2827.4428274428274
02359,818.6994856722998
02360,589.3362099662763
02364,677.5578088953271
02366,208.02534318901797
02367,192.08500783325388
02368,3192.177883660909
02370,1696.478804927733
02375,630.6974190005492
02379,451.2592979250946
02382,2088.9561707035755
02420,2133.292849552148
02421,1760.9666937449226
02445,7941.244239631336
02446,22774.669774669776
02451,3153.4563879840753
02452,3847.068359902729
02453,8271.844660194176
02457,8950.0
02458,6074.611917876815
02459,3816.7099740155904
02460,6504.464285714285
02461,4851.546391752577
02462,2943.181818181818
02464,5235.81560283688
02465,5223.015165031222
02466,4522.90502793296
02467,4615.431972091114
02468,3558.029689608637
02472,7930.146148129799
02474,8626.88524590164
02476,7898.709985666507
02478,5310.938845822567
02481,2879.631271051232
02482,2446.8186134852804
02492,2089.203354297694
02493,669.500594530321
02494,3237.5271149674622
02532,889.2158923691402
02534,368.00699300699296
02535,48.29906848865362
02536,707.6061427280939
02537,515.6928624108826
02538,793.6123348017621
02539,151.68015514862194
02540,767.0990015862648
02542,37.09372761023904
02543,63.921884437286096
02553,889.763779527559
02554,244.3452380952381
02556,805.74236937403
02557,624.96521013081
02558,1752.8455284552845
02559,670.506454816286
02561,876.4227642276422
02562,883.1207356867397
02563,783.8819523269012
02564,53.93180236604038
02568,601.2325266796934
02571,526.8157828600151
02575,109.0087206976558
02576,385.777412393382
02584,149.25373134328356
